observability_id,parameter,value,baseline_value,repeat_index,scenario_label,parameter_drift,successful_transitions,replay_equivalent,runtime_event_count,final_activation,state_consistency,timestamp,observations
phase_i:1:activation_threshold:0.8,activation_threshold,0.8,0.2,1,repeat_1,0.6000000000000001,1,True,1,0.8,1.0,2026-07-14T16:31:23.456250+00:00,"['activation_threshold=0.8', 'transition_success=True', 'final_activation=0.8']"
phase_i:1:activation_threshold:0.85,activation_threshold,0.85,0.2,1,repeat_1,0.6499999999999999,1,True,1,0.85,1.0,2026-07-14T16:31:23.456283+00:00,"['activation_threshold=0.85', 'transition_success=True', 'final_activation=0.85']"
phase_i:1:activation_threshold:0.9,activation_threshold,0.9,0.2,1,repeat_1,0.7,1,True,1,0.9,1.0,2026-07-14T16:31:23.456314+00:00,"['activation_threshold=0.9', 'transition_success=True', 'final_activation=0.9']"
phase_i:1:recovery_min_evidence:1,recovery_min_evidence,1,2,1,repeat_1,1.0,1,True,1,0.8,1.0,2026-07-14T16:31:23.456445+00:00,"['recovery_min_evidence=1', 'transition_success=True', 'evidence_usage_count=1']"
phase_i:1:recovery_min_evidence:2,recovery_min_evidence,2,2,1,repeat_1,0.0,1,True,1,0.8,1.0,2026-07-14T16:31:23.456502+00:00,"['recovery_min_evidence=2', 'transition_success=True', 'evidence_usage_count=2']"
phase_i:1:recovery_min_evidence:3,recovery_min_evidence,3,2,1,repeat_1,1.0,1,True,1,0.8,1.0,2026-07-14T16:31:23.456547+00:00,"['recovery_min_evidence=3', 'transition_success=True', 'evidence_usage_count=3']"
phase_i:1:recovery_min_evidence:4,recovery_min_evidence,4,2,1,repeat_1,2.0,1,True,1,0.8,1.0,2026-07-14T16:31:23.456589+00:00,"['recovery_min_evidence=4', 'transition_success=True', 'evidence_usage_count=4']"
phase_i:1:recovery_min_evidence:5,recovery_min_evidence,5,2,1,repeat_1,3.0,1,True,1,0.8,1.0,2026-07-14T16:31:23.456631+00:00,"['recovery_min_evidence=5', 'transition_success=True', 'evidence_usage_count=5']"
phase_i:1:preserve_evidence:true,preserve_evidence,True,True,1,repeat_1,0.0,1,True,1,0.1,1.0,2026-07-14T16:31:23.456944+00:00,"['preserve_evidence=True', 'transition_success=True', 'evidence_record_count=3', 'audit_completeness_score=1.0']"
phase_i:1:preserve_evidence:false,preserve_evidence,False,True,1,repeat_1,1.0,1,True,1,0.1,1.0,2026-07-14T16:31:23.457146+00:00,"['preserve_evidence=False', 'transition_success=True', 'evidence_record_count=0', 'audit_completeness_score=0.0']"
phase_i:1:archive_relations:false,archive_relations,False,True,1,repeat_1,1.0,1,True,1,0.1,1.0,2026-07-14T16:31:23.457503+00:00,"['archive_relations=False', 'transition_success=True', 'archive_refs=0', 'conflict_verification_status=partial', 'state_transition_equivalence=True']"
phase_i:1:archive_relations:true,archive_relations,True,True,1,repeat_1,0.0,1,True,1,0.1,1.0,2026-07-14T16:31:23.457744+00:00,"['archive_relations=True', 'transition_success=True', 'archive_refs=2', 'conflict_verification_status=verified', 'state_transition_equivalence=True']"
phase_i:2:activation_threshold:0.1,activation_threshold,0.1,0.2,2,repeat_2,0.1,1,True,1,0.4,1.0,2026-07-14T16:31:23.457926+00:00,"['activation_threshold=0.1', 'transition_success=True', 'final_activation=0.4']"
phase_i:2:activation_threshold:0.15,activation_threshold,0.15,0.2,2,repeat_2,0.05000000000000002,1,True,1,0.4,1.0,2026-07-14T16:31:23.457964+00:00,"['activation_threshold=0.15', 'transition_success=True', 'final_activation=0.4']"
